Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
1497ca7b-b70e-4932-97d1-76e3b560b56f,"2020-08-06, 03:17:49 PM",Accountant,TestEventPattern,,,,us-east-2,AccessDenied,75.188.55.132
8f6a6fc7-043c-4acb-a773-53960e23c54c,"2020-08-06, 03:14:41 PM",CloudTrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:966330518435:trail/Udacity_Trail""}]",,us-east-2,,75.188.55.132
c469d0ee-5b11-4300-b720-d1bb4fb4cef7,"2020-08-06, 03:04:17 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-2,,75.188.55.132
d9f06bc9-0831-45bc-a87c-85235222ad72,"2020-08-06, 03:04:17 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:966330518435:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacitycloudtraillog""}]",,us-east-2,,75.188.55.132
e26e39b1-6d1f-472b-9155-fa00cdf0be6c,"2020-08-06, 03:04:17 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:966330518435:trail/Udacity_Trail""}]",,us-east-2,,75.188.55.132
c3eaa490-506a-447b-b7ee-840a89fe49c8,"2020-08-06, 03:04:16 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacitycloudtraillog""}]",,us-east-2,,75.188.55.132
ceeb6248-0392-493c-8066-14f8bca9bc3a,"2020-08-06, 03:04:16 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacitycloudtraillog""}]",,us-east-2,,75.188.55.132
d16ce7c7-e6c4-471e-b49f-f53b968647b3,"2020-08-06, 03:01:25 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
e1121a49-0cd4-46b5-9fe2-133a57b29b72,"2020-08-06, 03:00:43 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
b4046dc4-06a8-4097-987c-6d5e318a7498,"2020-08-06, 02:57:40 PM",root,ConsoleLogin,,,,us-east-1,,75.188.55.132
81fca8b6-6c05-4778-8150-bdd6f3f47c2f,"2020-08-06, 02:53:58 PM",sapuser,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::966330518435:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA6B7OJROR4RUI4YUYV""}]",,us-east-1,,75.188.55.132
b3d9efb6-5525-4a09-9768-b291eeb4c4d3,"2020-08-06, 02:53:58 PM",sapuser,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,75.188.55.132
b8e55cf3-a7c8-4feb-973d-45488efbee18,"2020-08-06, 02:53:58 PM",sapuser,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,75.188.55.132
303f47de-5019-448d-87c2-bf1edb042f14,"2020-08-06, 02:53:16 PM",sapuser,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA6B7OJROR4JUKOJKAB""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::966330518435:user/CloudTrail""}]",,us-east-1,,75.188.55.132
9ac997b1-f89b-4f27-b4a6-82caa5ce8484,"2020-08-06, 02:53:16 PM",sapuser,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,75.188.55.132
a3fa32a6-8605-4924-b039-63c7cb071cd7,"2020-08-06, 02:53:16 PM",sapuser,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,75.188.55.132
45c4193b-e428-4fb0-81a8-178c6b7f7c03,"2020-08-06, 02:51:58 PM",sapuser,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,75.188.55.132
860034a0-02c8-49e8-b7a3-94119065d301,"2020-08-06, 02:51:58 PM",sapuser,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::966330518435:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA6B7OJRORRJZKTSTZP""}]",,us-east-1,,75.188.55.132
1b28917b-0b14-4888-9d36-99bc12f5d9c4,"2020-08-06, 02:51:40 PM",sapuser,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,75.188.55.132
